model,n_params_B,train_dataset,eval_dataset,n_shots,seed,accuracy,f1_macro,parse_rate,intra_cross
Phi-3 3.8B,3.8,daccord,fracas-gq,10,42,0.6,0.5606837606837606,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,10,42,0.6,0.5793650793650794,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,10,42,0.5333333333333333,0.4999999999999999,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,10,42,0.5333333333333333,0.4999999999999999,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,10,42,0.5333333333333333,0.5256410256410257,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,5,999,0.6666666666666666,0.6666666666666666,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,5,999,0.7333333333333333,0.8055555555555555,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,5,999,0.6666666666666666,0.6138528138528138,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,5,999,0.7333333333333333,0.8055555555555555,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,5,999,0.8,0.8564102564102565,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,5,123,0.6666666666666666,0.6138528138528138,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,5,123,0.6,0.5707070707070706,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,5,123,0.5333333333333333,0.5256410256410257,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,5,123,0.6666666666666666,0.6654456654456654,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,5,123,0.6666666666666666,0.6282051282051282,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,5,42,0.6666666666666666,0.626984126984127,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,5,42,0.6666666666666666,0.6666666666666666,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,5,42,0.5333333333333333,0.5094017094017094,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,5,42,0.5333333333333333,0.5256410256410257,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,5,42,0.6,0.7142857142857143,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,3,999,0.6,0.5598845598845599,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,3,999,0.7333333333333333,0.8055555555555555,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,3,999,0.6666666666666666,0.6138528138528138,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,3,999,0.7333333333333333,0.8055555555555555,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,3,999,0.8,0.8564102564102565,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,3,123,0.4666666666666667,0.4495726495726496,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,3,123,0.6,0.5707070707070706,1.0,Cross
Phi-3 3.8B,3.8,sick,fracas-gq,3,123,0.5333333333333333,0.5256410256410257,1.0,Cross
Phi-3 3.8B,3.8,gqnli,fracas-gq,3,123,0.6666666666666666,0.6654456654456654,1.0,Cross
Phi-3 3.8B,3.8,fracas-gq,fracas-gq,3,123,0.6666666666666666,0.6282051282051282,1.0,Intra
Phi-3 3.8B,3.8,daccord,fracas-gq,3,42,0.5333333333333333,0.5043290043290044,1.0,Cross
Phi-3 3.8B,3.8,rte3,fracas-gq,3,42,0.6666666666666666,0.6666666666666666,1.0,Cross
